us_category_num,us_category_desc,uk_category_code,uk_category_name,score
6416,Corn,US5006,Popcorn,0.727
6416,Corn,POPC,Popcorn,0.727
6416,Corn,US2604,Bacon,0.667
6416,Corn,BCNS,Bacon,0.667
6414,Onions,US6414,Onions,1.0
6414,Onions,ONIO,Onions,1.0
6414,Onions,CROU,Croutons,0.571
6414,Onions,US8010,Mayonnaise,0.5
6414,Onions,US6014,Melons,0.5
9006,Baby food: vegetables,US9006,Baby food: vegetables,1.0
9006,Baby food: vegetables,US9002,Baby food: cereals,0.821
9006,Baby food: vegetables,US6430,Fried vegetables,0.703
9006,Baby food: vegetables,SLDV,Salad vegetables,0.703
9006,Baby food: vegetables,US9007,Baby food: mixtures,0.7
8004,Margarine,US8004,Margarine,1.0
8004,Margarine,MRGN,Margarine / spread,0.667
8004,Margarine,US8010,Mayonnaise,0.526
8004,Margarine,MAYN,Mayonnaise,0.526
8004,Margarine,US3206,Macaroni and cheese,0.5
8010,Mayonnaise,US8010,Mayonnaise,1.0
8010,Mayonnaise,MAYN,Mayonnaise,1.0
8010,Mayonnaise,US6414,Onions,0.5
8010,Mayonnaise,US6014,Melons,0.5
8010,Mayonnaise,ONIO,Onions,0.5
8012,Salad dressings and vegetable oils,US8012,Salad dressings and vegetable oils,1.0
8012,Salad dressings and vegetable oils,SLDV,Salad vegetables,0.64
8012,Salad dressings and vegetable oils,SDRS,Salad dressings,0.612
8012,Salad dressings and vegetable oils,US6430,Fried vegetables,0.56
8012,Salad dressings and vegetable oils,US6406,Other red and orange vegetables,0.554
6489,Vegetables on a sandwich,US6489,Vegetables on a sandwich,1.0
6489,Vegetables on a sandwich,22EVSND,Egg / Vegetable sandwiches,0.72
6489,Vegetables on a sandwich,US3744,Vegetable sandwiches/burgers,0.692
6489,Vegetables on a sandwich,22VEGO,"Vegetables, other",0.634
6489,Vegetables on a sandwich,VGTJ,Vegetable juice,0.615
8802,Sugars and honey,US8802,Sugars and honey,1.0
8802,Sugars and honey,STEK,Steaks and chops,0.625
8802,Sugars and honey,US2502,Eggs and omelets,0.562
8802,Sugars and honey,US8406,Mustard and other condiments,0.545
8802,Sugars and honey,US5502,Cakes and pies,0.533
8804,Sugar substitutes,US8804,Sugar substitutes,1.0
8804,Sugar substitutes,US8008,Cream and cream substitutes,0.636
8804,Sugar substitutes,MTST,"Meat substitute, e.g. Quorn",0.545
8804,Sugar substitutes,22RSBAG,"Rolls, subs and baguettes",0.476
8804,Sugar substitutes,19VFRIT,Vegetable fritters,0.457
5704,Candy not containing chocolate,US5704,Candy not containing chocolate,1.0
5704,Candy not containing chocolate,US5702,Candy containing chocolate,0.929
5704,Candy not containing chocolate,DCHO,Hot chocolate,0.558
5704,Candy not containing chocolate,US6008,Peaches and nectarines,0.462
5704,Candy not containing chocolate,COTC,Cottage cheese,0.455
5702,Candy containing chocolate,US5702,Candy containing chocolate,1.0
5702,Candy containing chocolate,US5704,Candy not containing chocolate,0.929
5702,Candy containing chocolate,DCHO,Hot chocolate,0.615
5702,Candy containing chocolate,CHCS,Chocolates,0.5
5702,Candy containing chocolate,US6008,Peaches and nectarines,0.458
7302,Coffee,US7302,Coffee,1.0
7302,Coffee,CFFS,Coffee,1.0
7302,Coffee,COUR,Courgette,0.533
7302,Coffee,US1602,Cheese,0.5
7302,Coffee,SCNS,Scones,0.5
7304,Tea,US7304,Tea,1.0
7304,Tea,TEAS,Tea,1.0
7304,Tea,GATX,Gateau,0.667
7304,Tea,US4802,Oatmeal,0.6
7304,Tea,WTRS,Water,0.5
7202,Soft drinks,US7202,Soft drinks,1.0
7202,Soft drinks,US7102,Diet soft drinks,0.815
7202,Soft drinks,US7204,Fruit drinks,0.783
7202,Soft drinks,OTDR,Other drinks,0.783
7202,Soft drinks,SOFT,Fizzy drinks,0.696
7102,Diet soft drinks,US7102,Diet soft drinks,1.0
7102,Diet soft drinks,US7202,Soft drinks,0.815
7102,Diet soft drinks,US7104,Diet sport and energy drinks,0.682
7102,Diet soft drinks,US7106,Other diet drinks,0.667
7102,Diet soft drinks,US7204,Fruit drinks,0.643
7802,Flavored or carbonated water,US7802,Flavored or carbonated water,1.0
7802,Flavored or carbonated water,US1204,"Flavored milk, reduced fat",0.593
7802,Flavored or carbonated water,US1208,"Flavored milk, nonfat",0.571
7802,Flavored or carbonated water,US7704,Bottled water,0.537
7802,Flavored or carbonated water,US1202,"Flavored milk, whole",0.5
7106,Other diet drinks,US7106,Other diet drinks,1.0
7106,Other diet drinks,OTDR,Other drinks,0.828
7106,Other diet drinks,US7204,Fruit drinks,0.69
7106,Other diet drinks,US7102,Diet soft drinks,0.667
7106,Other diet drinks,US7202,Soft drinks,0.643
7502,Beer,US7502,Beer,1.0
7502,Beer,BEET,Beetroot,0.667
7502,Beer,BUTR,Butter,0.6
7502,Beer,BEER,Beer/stout,0.571
7502,Beer,US3702,Burgers,0.545
7506,Liquor and cocktails,US7506,Liquor and cocktails,1.0
7506,Liquor and cocktails,US2010,Liver and organ meats,0.537
7506,Liquor and cocktails,US3502,Burritos and tacos,0.526
7506,Liquor and cocktails,BUNS,Buns and teacakes,0.486
7506,Liquor and cocktails,US4804,Grits and other cooked cereals,0.48
7504,Wine,WINE,Wine,1.0
7504,Wine,US7504,Wine,1.0
7504,Wine,VNGR,Vinegars,0.5
7504,Wine,US4002,Rice,0.5
7504,Wine,RICE,Rice,0.5
7702,Tap water,US7702,Tap water,1.0
7702,Tap water,US9204,Baby water,0.737
7702,Tap water,WTRS,Water,0.714
7702,Tap water,US7704,Bottled water,0.636
7702,Tap water,US7804,Enhanced water,0.609
7704,Bottled water,US7704,Bottled water,1.0
7704,Bottled water,BOLP,Boiled potatoes,0.643
7704,Bottled water,US7702,Tap water,0.636
7704,Bottled water,BOIL,Boiled sweets,0.615
7704,Bottled water,US9204,Baby water,0.609
7804,Enhanced water,US7804,Enhanced water,1.0
7804,Enhanced water,US7702,Tap water,0.609
7804,Enhanced water,US7704,Bottled water,0.593
7804,Enhanced water,US9204,Baby water,0.583
7804,Enhanced water,WTRS,Water,0.526
9204,Baby water,US9204,Baby water,1.0
9204,Baby water,US7702,Tap water,0.737
9204,Baby water,WTRS,Water,0.667
9204,Baby water,US7704,Bottled water,0.609
9204,Baby water,US9202,Baby juice,0.6
7208,Nutritional beverages,US7208,Nutritional beverages,1.0
7208,Nutritional beverages,US5404,Nutrition bars,0.743
7208,Nutritional beverages,US9802,Protein and nutritional powders,0.577
7208,Nutritional beverages,US6412,String beans,0.545
7208,Nutritional beverages,US6009,Strawberries,0.485
9802,Protein and nutritional powders,US9802,Protein and nutritional powders,1.0
9802,Protein and nutritional powders,SYPR,Protein Powders,0.652
9802,Protein and nutritional powders,US7208,Nutritional beverages,0.577
9802,Protein and nutritional powders,US6018,Other fruits and fruit salads,0.533
9802,Protein and nutritional powders,US5404,Nutrition bars,0.533
7206,Sport and energy drinks,US7206,Sport and energy drinks,1.0
7206,Sport and energy drinks,US7104,Diet sport and energy drinks,0.902
7206,Sport and energy drinks,US7220,Smoothies and grain drinks,0.653
7206,Sport and energy drinks,OTDR,Other drinks,0.629
7206,Sport and energy drinks,US7202,Soft drinks,0.588
7104,Diet sport and energy drinks,US7104,Diet sport and energy drinks,1.0
7104,Diet sport and energy drinks,US7206,Sport and energy drinks,0.902
7104,Diet sport and energy drinks,US7102,Diet soft drinks,0.682
7104,Diet sport and energy drinks,US7220,Smoothies and grain drinks,0.593
7104,Diet sport and energy drinks,US1402,Milk shakes and other dairy drinks,0.581
